gene_id	CD-PTKO_18_27m_vs_CD-PTWT_18_27m	CD_PTWT_16m_vs_CD_PTWT_6m	CD_PTWT_6m_vs_WD_PTWT_6m	CD_PTWT_18_27m_vs_CD_PTWT_6m	CD_PTWT_18_27m_vs_WD_PTWT_18_27m	WD-PTKO_18_27m_vs_CD-PTWT_18_27m	WD_PTWT_16m_vs_WD_PTWT_6m	WD-PTWT_18_27m_vs_WD-PTKO_18_27m	CD_PTWT_16m_vs_WD_PTWT_16m	WD-PTWT_18_27m_vs_CD-PTWT_18_27m	WD_PTWT_18_27m_vs_WD_PTWT_6m	WD-PTKO_18_27m_vs_CD-PTKO_18_27m
ENSMUSG00000024349	1.6551200000000001	0.162201	-0.436513	0.932158	0.607112	2.47018	0.0881605	-1.87163	-0.373874	0.607112	1.0986799999999999	0.818479
ENSMUSG00000024397	2.20531	0.0498319	0.404685	0.7967890000000001	0.532871	1.5521200000000002	0.7241029999999999	-1.02688	-0.279987	0.532871	1.7298799999999999	-0.6523180000000001
ENSMUSG00000024479	0.11289600000000001	-0.0125012	-0.193459	0.0745677	0.633679	1.02396	-0.377318	-0.398481	0.161458	0.633679	0.510905	0.91128
ENSMUSG00000024501	0.5771729999999999	-0.409294	0.560146	0.712064	0.0797062	0.8920799999999999	0.323952	-0.8217180000000001	-0.183531	0.0797062	1.34752	0.313287
ENSMUSG00000024529	1.3320100000000001	-0.8568520000000001	0.11648	1.0149	0.471815	2.59337	-0.656821	-2.1278599999999996	-0.09324199999999999	0.471815	1.5984	1.2616399999999999
ENSMUSG00000024552	0.41446400000000005	-0.709451	0.6357970000000001	-1.3127799999999998	1.1265399999999999	2.7947	-2.31331	-1.67078	2.2294099999999997	1.1265399999999999	0.44583999999999996	2.37193
ENSMUSG00000024575	-1.06247	0.16703099999999999	0.11210899999999999	-0.055307600000000005	-1.41875	-2.37695	0.31982	0.946684	-0.0508296	-1.41875	-1.3650799999999998	-1.31388
ENSMUSG00000024610	1.3280299999999998	-0.307245	0.289044	0.540022	0.43194099999999996	1.3544200000000002	0.660512	-0.9321020000000001	-0.68926	0.43194099999999996	1.25704	0.0269277
ENSMUSG00000024640	0.834498	-0.04665	0.05252090000000001	-0.406319	0.777564	1.13455	-0.142257	-0.365816	0.13942100000000002	0.777564	0.42001400000000005	0.30595700000000003
ENSMUSG00000024644	-0.525054	-0.119887	0.9655469999999999	-0.312053	-0.990532	-1.51495	0.22660300000000003	0.513782	0.609247	-0.990532	-0.34076300000000004	-0.989625
